,relpath,name,format,category,width,height,mode,channels
0,./data/raw-img/cane/OIF-e2bexWrojgtQnAPPcUfOWQ.jpeg,OIF-e2bexWrojgtQnAPPcUfOWQ.jpeg,jpeg,dog,300,225,RGB,3
1,./data/raw-img/cane/OIP---A27bIBcUgX1qkbpZOPswHaFS.jpeg,OIP---A27bIBcUgX1qkbpZOPswHaFS.jpeg,jpeg,dog,300,214,RGB,3
2,./data/raw-img/cane/OIP---ZIdwfUcJeVxnh47zppcQHaFj.jpeg,OIP---ZIdwfUcJeVxnh47zppcQHaFj.jpeg,jpeg,dog,300,225,RGB,3
3,./data/raw-img/cane/OIP---ZRsOF7zsMqhW30WeF8-AHaFj.jpeg,OIP---ZRsOF7zsMqhW30WeF8-AHaFj.jpeg,jpeg,dog,300,225,RGB,3
4,./data/raw-img/cane/OIP---_cJbI6Ei26w5bW1urHewHaCf.jpeg,OIP---_cJbI6Ei26w5bW1urHewHaCf.jpeg,jpeg,dog,300,101,RGB,3
5,./data/raw-img/cane/OIP---cByAiEbIxIAleGo9AqOQAAAA.jpeg,OIP---cByAiEbIxIAleGo9AqOQAAAA.jpeg,jpeg,dog,153,300,RGB,3
6,./data/raw-img/cane/OIP--0C2kq6I68beB3DduLoxMgHaEf.jpeg,OIP--0C2kq6I68beB3DduLoxMgHaEf.jpeg,jpeg,dog,300,182,RGB,3
7,./data/raw-img/cane/OIP--0CZnfLuBERVtzRm2QbB3gHaK4.jpeg,OIP--0CZnfLuBERVtzRm2QbB3gHaK4.jpeg,jpeg,dog,205,300,RGB,3
8,./data/raw-img/cane/OIP--1QXriWyOTJg-9fEwbznmgHaI4.jpeg,OIP--1QXriWyOTJg-9fEwbznmgHaI4.jpeg,jpeg,dog,251,300,RGB,3
9,./data/raw-img/cane/OIP--2uTtzjaszBfEMCROuLN3wHaLH.jpeg,OIP--2uTtzjaszBfEMCROuLN3wHaLH.jpeg,jpeg,dog,200,300,RGB,3
10,./data/raw-img/cane/OIP--2z_zAuTMzgYM_KynUl9CQHaE7.jpeg,OIP--2z_zAuTMzgYM_KynUl9CQHaE7.jpeg,jpeg,dog,300,200,RGB,3
11,./data/raw-img/cane/OIP--565fkAJy3DoFs81C9uE1QHaEY.jpeg,OIP--565fkAJy3DoFs81C9uE1QHaEY.jpeg,jpeg,dog,300,178,RGB,3
12,./data/raw-img/cane/OIP--6UY_QQC69uZF4CrwEcfUQHaHa.jpeg,OIP--6UY_QQC69uZF4CrwEcfUQHaHa.jpeg,jpeg,dog,300,300,RGB,3
13,./data/raw-img/cane/OIP--6mVvk2SFEi7TxqtyMbdvgHaEK.jpeg,OIP--6mVvk2SFEi7TxqtyMbdvgHaEK.jpeg,jpeg,dog,300,169,RGB,3
14,./data/raw-img/cane/OIP--7xBAVJkrjDLNCknR2fuKgHaHa.jpeg,OIP--7xBAVJkrjDLNCknR2fuKgHaHa.jpeg,jpeg,dog,300,300,RGB,3
15,./data/raw-img/cane/OIP--8oCad9Nr69Ol4YEkvXJFQHaNK.jpeg,OIP--8oCad9Nr69Ol4YEkvXJFQHaNK.jpeg,jpeg,dog,169,300,RGB,3
16,./data/raw-img/cane/OIP--90_fw5Y28UC44KVSPuxdAHaJ3.jpeg,OIP--90_fw5Y28UC44KVSPuxdAHaJ3.jpeg,jpeg,dog,226,300,RGB,3
17,./data/raw-img/cane/OIP--9pxEn5HUPsqA38ao3O7TgHaGV.jpeg,OIP--9pxEn5HUPsqA38ao3O7TgHaGV.jpeg,jpeg,dog,300,257,RGB,3
18,./data/raw-img/cane/OIP--AzXmxzRD9y3THnVByTtLwHaG5.jpeg,OIP--AzXmxzRD9y3THnVByTtLwHaG5.jpeg,jpeg,dog,300,280,RGB,3
19,./data/raw-img/cane/OIP--BKXxWj6jk2y8_PQbxmJ0gHaE9.jpeg,OIP--BKXxWj6jk2y8_PQbxmJ0gHaE9.jpeg,jpeg,dog,300,201,RGB,3
20,./data/raw-img/cane/OIP--BUglHhzleeaUXxOXNbgRQHaEK.jpeg,OIP--BUglHhzleeaUXxOXNbgRQHaEK.jpeg,jpeg,dog,300,169,RGB,3
21,./data/raw-img/cane/OIP--DQsiH-9LglDNlEvJpZQZQHaFw.jpeg,OIP--DQsiH-9LglDNlEvJpZQZQHaFw.jpeg,jpeg,dog,300,233,RGB,3
22,./data/raw-img/cane/OIP--DqSseJFuaBH5t89CubEwAHaE8.jpeg,OIP--DqSseJFuaBH5t89CubEwAHaE8.jpeg,jpeg,dog,300,200,RGB,3
23,./data/raw-img/cane/OIP--EJV-0S_RAhDQbtUA8HhoAHaGi.jpeg,OIP--EJV-0S_RAhDQbtUA8HhoAHaGi.jpeg,jpeg,dog,300,265,RGB,3
24,./data/raw-img/cane/OIP--GlCH31Wry6Uj4tAHTnIUwHaJv.jpeg,OIP--GlCH31Wry6Uj4tAHTnIUwHaJv.jpeg,jpeg,dog,229,300,RGB,3
25,./data/raw-img/cane/OIP--GnTjiWNoY2Djyb3v7WXAgHaE7.jpeg,OIP--GnTjiWNoY2Djyb3v7WXAgHaE7.jpeg,jpeg,dog,300,200,RGB,3
26,./data/raw-img/cane/OIP--HP-Jp3xDbJcfnayqlP7GwHaE7.jpeg,OIP--HP-Jp3xDbJcfnayqlP7GwHaE7.jpeg,jpeg,dog,300,200,RGB,3
27,./data/raw-img/cane/OIP--HjjWS524SecIyPDEh8GNgHaJ4.jpeg,OIP--HjjWS524SecIyPDEh8GNgHaJ4.jpeg,jpeg,dog,225,300,RGB,3
28,./data/raw-img/cane/OIP--KlpwG173pm-gl9aWQkm9gHaE8.jpeg,OIP--KlpwG173pm-gl9aWQkm9gHaE8.jpeg,jpeg,dog,300,200,RGB,3
29,./data/raw-img/cane/OIP--L1ZAWylA3UTTMGC0_WF0wHaIA.jpeg,OIP--L1ZAWylA3UTTMGC0_WF0wHaIA.jpeg,jpeg,dog,278,300,RGB,3
30,./data/raw-img/cane/OIP--LSF87v0ehcSg4hzc4Qy7QHaE8.jpeg,OIP--LSF87v0ehcSg4hzc4Qy7QHaE8.jpeg,jpeg,dog,300,200,RGB,3
31,./data/raw-img/cane/OIP--LafQFfr5Kd-NMLdQYKKNQHaER.jpeg,OIP--LafQFfr5Kd-NMLdQYKKNQHaER.jpeg,jpeg,dog,300,173,RGB,3
32,./data/raw-img/cane/OIP--MG1FExhD4u9GX_Vny2QXwHaFj.jpeg,OIP--MG1FExhD4u9GX_Vny2QXwHaFj.jpeg,jpeg,dog,300,225,RGB,3
33,./data/raw-img/cane/OIP--MZDf-NwE7MF-xL9nqrSgwHaFj.jpeg,OIP--MZDf-NwE7MF-xL9nqrSgwHaFj.jpeg,jpeg,dog,300,225,RGB,3
34,./data/raw-img/cane/OIP--MffROkglTy0W_sVV_zv3AHaFY.jpeg,OIP--MffROkglTy0W_sVV_zv3AHaFY.jpeg,jpeg,dog,300,218,RGB,3
35,./data/raw-img/cane/OIP--NBX8JVZ8wy9KtVr-cblGgHaJ4.jpeg,OIP--NBX8JVZ8wy9KtVr-cblGgHaJ4.jpeg,jpeg,dog,225,300,RGB,3
36,./data/raw-img/cane/OIP--NTohQi3Ctvo0vRUTVNHTQHaFj.jpeg,OIP--NTohQi3Ctvo0vRUTVNHTQHaFj.jpeg,jpeg,dog,300,225,RGB,3
37,./data/raw-img/cane/OIP--OzHmoOBxcUQs7N3KjButwHaFP.jpeg,OIP--OzHmoOBxcUQs7N3KjButwHaFP.jpeg,jpeg,dog,300,213,RGB,3
38,./data/raw-img/cane/OIP--PIzK8IjlJZpcxJWdgIn_wHaFj.jpeg,OIP--PIzK8IjlJZpcxJWdgIn_wHaFj.jpeg,jpeg,dog,300,225,RGB,3
39,./data/raw-img/cane/OIP--PKqX2FCj-4MRkSi78FVcgHaLP.jpeg,OIP--PKqX2FCj-4MRkSi78FVcgHaLP.jpeg,jpeg,dog,197,300,RGB,3
40,./data/raw-img/cane/OIP--PRmz0al4Y19jI_RrXnrqQHaIX.jpeg,OIP--PRmz0al4Y19jI_RrXnrqQHaIX.jpeg,jpeg,dog,266,300,RGB,3
41,./data/raw-img/cane/OIP--RzOJndNB4Agj6qql-XvGAHaH7.jpeg,OIP--RzOJndNB4Agj6qql-XvGAHaH7.jpeg,jpeg,dog,281,300,RGB,3
42,./data/raw-img/cane/OIP--S-Kzm1iB9TRHF7MpaJL3QHaEm.jpeg,OIP--S-Kzm1iB9TRHF7MpaJL3QHaEm.jpeg,jpeg,dog,300,187,RGB,3
43,./data/raw-img/cane/OIP--TmnIg2PYXYuVEGcljh36wHaE6.jpeg,OIP--TmnIg2PYXYuVEGcljh36wHaE6.jpeg,jpeg,dog,300,199,RGB,3
44,./data/raw-img/cane/OIP--Vd4TYq5XdX4Flb0D3yBNAHaGg.jpeg,OIP--Vd4TYq5XdX4Flb0D3yBNAHaGg.jpeg,jpeg,dog,300,264,RGB,3
45,./data/raw-img/cane/OIP--XK9fGfui8Yd_sI6-rKx-AHaFj.jpeg,OIP--XK9fGfui8Yd_sI6-rKx-AHaFj.jpeg,jpeg,dog,300,225,RGB,3
46,./data/raw-img/cane/OIP--XyV2dbbCKXAX0Ucaw8VAgHaHi.jpeg,OIP--XyV2dbbCKXAX0Ucaw8VAgHaHi.jpeg,jpeg,dog,296,300,RGB,3
47,./data/raw-img/cane/OIP--YOIKWP2AP0VVgYTomJcCQAAAA.jpeg,OIP--YOIKWP2AP0VVgYTomJcCQAAAA.jpeg,jpeg,dog,300,300,RGB,3
48,./data/raw-img/cane/OIP--Z2dg_o5sGo8jua-d6vSagHaEK.jpeg,OIP--Z2dg_o5sGo8jua-d6vSagHaEK.jpeg,jpeg,dog,300,169,RGB,3
49,./data/raw-img/cane/OIP--Zih5aJ_hAwXfs91iq3dZAHaJH.jpeg,OIP--Zih5aJ_hAwXfs91iq3dZAHaJH.jpeg,jpeg,dog,244,300,RGB,3
50,./data/raw-img/cane/OIP--cyBTQeGHK_bTaYGIDNn7AHaLE.jpeg,OIP--cyBTQeGHK_bTaYGIDNn7AHaLE.jpeg,jpeg,dog,201,300,RGB,3
51,./data/raw-img/cane/OIP--hIXMAfOrmjSfDzjHHoZmwHaFj.jpeg,OIP--hIXMAfOrmjSfDzjHHoZmwHaFj.jpeg,jpeg,dog,300,225,RGB,3
52,./data/raw-img/cane/OIP--hrVyxBHfXGXIpLKB_ld2AHaEK.jpeg,OIP--hrVyxBHfXGXIpLKB_ld2AHaEK.jpeg,jpeg,dog,300,169,RGB,3
53,./data/raw-img/cane/OIP--iPPduM2--389E1lozUz_QHaFj.jpeg,OIP--iPPduM2--389E1lozUz_QHaFj.jpeg,jpeg,dog,300,225,RGB,3
54,./data/raw-img/cane/OIP--iVoSrHMWX0IG2rxuA5CsgHaFj.jpeg,OIP--iVoSrHMWX0IG2rxuA5CsgHaFj.jpeg,jpeg,dog,300,225,RGB,3
55,./data/raw-img/cane/OIP--ittZIBa1ox84GW8FmIWAwHaGH.jpeg,OIP--ittZIBa1ox84GW8FmIWAwHaGH.jpeg,jpeg,dog,300,248,RGB,3
56,./data/raw-img/cane/OIP--j4ILLV3OBiP1WFx0l7GiQHaFc.jpeg,OIP--j4ILLV3OBiP1WFx0l7GiQHaFc.jpeg,jpeg,dog,300,221,RGB,3
57,./data/raw-img/cane/OIP--jqyES48oZ9OFI3kFadEggHaEk.jpeg,OIP--jqyES48oZ9OFI3kFadEggHaEk.jpeg,jpeg,dog,300,185,RGB,3
58,./data/raw-img/cane/OIP--khXa4p9B3QV8JmsHX29hgHaEK.jpeg,OIP--khXa4p9B3QV8JmsHX29hgHaEK.jpeg,jpeg,dog,300,169,RGB,3
59,./data/raw-img/cane/OIP--lQutAM-FwDERp0chM2rCgHaE8.jpeg,OIP--lQutAM-FwDERp0chM2rCgHaE8.jpeg,jpeg,dog,300,200,RGB,3
60,./data/raw-img/cane/OIP--lnCqw9ajSJK5CxuFZo2TwHaFb.jpeg,OIP--lnCqw9ajSJK5CxuFZo2TwHaFb.jpeg,jpeg,dog,300,220,RGB,3
61,./data/raw-img/cane/OIP--mZiyU8uZ1LLjoPmCykXSgHaLO.jpeg,OIP--mZiyU8uZ1LLjoPmCykXSgHaLO.jpeg,jpeg,dog,199,300,RGB,3
62,./data/raw-img/cane/OIP--msqs5Bmw4nKoAAq10fZCQHaNd.jpeg,OIP--msqs5Bmw4nKoAAq10fZCQHaNd.jpeg,jpeg,dog,166,300,RGB,3
63,./data/raw-img/cane/OIP--oBsJIeAn_f5_DI1XJ9O6wHaF7.jpeg,OIP--oBsJIeAn_f5_DI1XJ9O6wHaF7.jpeg,jpeg,dog,300,240,RGB,3
64,./data/raw-img/cane/OIP--oDUk4AB3XuBQN__83AEjQHaG4.jpeg,OIP--oDUk4AB3XuBQN__83AEjQHaG4.jpeg,jpeg,dog,300,279,RGB,3
65,./data/raw-img/cane/OIP--pLfP_C-rvesSFF1tplovAAAAA.jpeg,OIP--pLfP_C-rvesSFF1tplovAAAAA.jpeg,jpeg,dog,225,300,RGB,3
66,./data/raw-img/cane/OIP--qln8OiJUfar32CqdwPYSgHaED.jpeg,OIP--qln8OiJUfar32CqdwPYSgHaED.jpeg,jpeg,dog,300,164,RGB,3
67,./data/raw-img/cane/OIP--t2FVkxQ6yBY4PR6jC0uLQHaLG.jpeg,OIP--t2FVkxQ6yBY4PR6jC0uLQHaLG.jpeg,jpeg,dog,201,300,RGB,3
68,./data/raw-img/cane/OIP--tLYXo2whlWi1qlFDmdO7gHaE8.jpeg,OIP--tLYXo2whlWi1qlFDmdO7gHaE8.jpeg,jpeg,dog,300,200,RGB,3
69,./data/raw-img/cane/OIP--tx2au-jG4xH01_RsE7UQQHaFj.jpeg,OIP--tx2au-jG4xH01_RsE7UQQHaFj.jpeg,jpeg,dog,300,225,RGB,3
70,./data/raw-img/cane/OIP--uc97pTac5w3RPh4jGAw4wHaJ-.jpeg,OIP--uc97pTac5w3RPh4jGAw4wHaJ-.jpeg,jpeg,dog,223,300,RGB,3
71,./data/raw-img/cane/OIP--vdk8YHsIaofbEeP7fq_BAHaHa.jpeg,OIP--vdk8YHsIaofbEeP7fq_BAHaHa.jpeg,jpeg,dog,300,300,RGB,3
