,Unnamed: 0,relpath,name,format,category,width,height,mode,channels,label
10059,10059,./data/processed/butterfly/OIP-f9P8cYWpnZLzBAG5c7F9WQHaFb.jpg,OIP-f9P8cYWpnZLzBAG5c7F9WQHaFb.jpg,jpg,butterfly,224,224,RGB,3,0
9709,9709,./data/processed/butterfly/OIP-T4jeJE-cUY6CoE8uJ9wS2AHaFj.jpg,OIP-T4jeJE-cUY6CoE8uJ9wS2AHaFj.jpg,jpg,butterfly,224,224,RGB,3,0
10944,10944,./data/processed/butterfly/ea37b80e2df3073ed1584d05fb1d4e9fe777ead218ac104497f5c97faeebb5bb_640.jpg,ea37b80e2df3073ed1584d05fb1d4e9fe777ead218ac104497f5c97faeebb5bb_640.jpg,jpg,butterfly,224,224,RGB,3,0
10637,10637,./data/processed/butterfly/ea31b00821f71c22d2524518b7444f92e37fe5d404b0144390f8c770a1edb6_640.jpg,ea31b00821f71c22d2524518b7444f92e37fe5d404b0144390f8c770a1edb6_640.jpg,jpg,butterfly,224,224,RGB,3,0
10801,10801,./data/processed/butterfly/ea36b60b20fc063ed1584d05fb1d4e9fe777ead218ac104497f5c97faee9bdba_640.jpg,ea36b60b20fc063ed1584d05fb1d4e9fe777ead218ac104497f5c97faee9bdba_640.jpg,jpg,butterfly,224,224,RGB,3,0
9181,9181,./data/processed/butterfly/OIP-7_hPFnqtqLQDhHW9g9l_-wHaE6.jpg,OIP-7_hPFnqtqLQDhHW9g9l_-wHaE6.jpg,jpg,butterfly,224,224,RGB,3,0
10378,10378,./data/processed/butterfly/OIP-s0_T5DqCCRdEY90ooSKTDQHaFj.jpg,OIP-s0_T5DqCCRdEY90ooSKTDQHaFj.jpg,jpg,butterfly,224,224,RGB,3,0
10555,10555,./data/processed/butterfly/OIP-yr3arwBSVWn3SZM_eo8bfwHaHa.jpg,OIP-yr3arwBSVWn3SZM_eo8bfwHaHa.jpg,jpg,butterfly,224,224,RGB,3,0
9727,9727,./data/processed/butterfly/OIP-Tkb40oMeCx47hLIPtvxfEQHaHa.jpg,OIP-Tkb40oMeCx47hLIPtvxfEQHaHa.jpg,jpg,butterfly,224,224,RGB,3,0
9557,9557,./data/processed/butterfly/OIP-MepFo9C_jgEfoA_xVqhkCwHaE8.jpg,OIP-MepFo9C_jgEfoA_xVqhkCwHaE8.jpg,jpg,butterfly,224,224,RGB,3,0
10228,10228,./data/processed/butterfly/OIP-mQ95c6Zv25CIbrWIi4_TnAHaEq.jpg,OIP-mQ95c6Zv25CIbrWIi4_TnAHaEq.jpg,jpg,butterfly,224,224,RGB,3,0
10844,10844,./data/processed/butterfly/ea37b0092cfd053ed1584d05fb1d4e9fe777ead218ac104497f5c97faee9bdba_640.jpg,ea37b0092cfd053ed1584d05fb1d4e9fe777ead218ac104497f5c97faee9bdba_640.jpg,jpg,butterfly,224,224,RGB,3,0
8944,8944,./data/processed/butterfly/OIP--VatM86VAW7kByE6tVfTfgHaHV.jpg,OIP--VatM86VAW7kByE6tVfTfgHaHV.jpg,jpg,butterfly,224,224,RGB,3,0
9033,9033,./data/processed/butterfly/OIP-2pw52SPZlaHEmcE3e8MIogHaI0.jpg,OIP-2pw52SPZlaHEmcE3e8MIogHaI0.jpg,jpg,butterfly,224,224,RGB,3,0
9554,9554,./data/processed/butterfly/OIP-M_AdafdyD7FyDzDC0HOy9AEwDN.jpg,OIP-M_AdafdyD7FyDzDC0HOy9AEwDN.jpg,jpg,butterfly,224,224,RGB,3,0
10354,10354,./data/processed/butterfly/OIP-r94-xRo7v6-tou4rAdRDKAHaFj.jpg,OIP-r94-xRo7v6-tou4rAdRDKAHaFj.jpg,jpg,butterfly,224,224,RGB,3,0
9199,9199,./data/processed/butterfly/OIP-89wG0FP8toFeQnl_T4jOvgHaGN.jpg,OIP-89wG0FP8toFeQnl_T4jOvgHaGN.jpg,jpg,butterfly,224,224,RGB,3,0
10451,10451,./data/processed/butterfly/OIP-u_laqlmVaFfhry5wQk0newHaE8.jpg,OIP-u_laqlmVaFfhry5wQk0newHaE8.jpg,jpg,butterfly,224,224,RGB,3,0
9563,9563,./data/processed/butterfly/OIP-MwBAFNwvzgbUfW5bj_L3TQHaIL.jpg,OIP-MwBAFNwvzgbUfW5bj_L3TQHaIL.jpg,jpg,butterfly,224,224,RGB,3,0
9387,9387,./data/processed/butterfly/OIP-FvaPsbRBhDbpmslfQiBgNwHaFc.jpg,OIP-FvaPsbRBhDbpmslfQiBgNwHaFc.jpg,jpg,butterfly,224,224,RGB,3,0
9241,9241,./data/processed/butterfly/OIP-9gYeF7ZLBM9_hc4zebIjKQHaHa.jpg,OIP-9gYeF7ZLBM9_hc4zebIjKQHaHa.jpg,jpg,butterfly,224,224,RGB,3,0
9787,9787,./data/processed/butterfly/OIP-W1lR4tVz8UN9fbRk_hVmjQHaE6.jpg,OIP-W1lR4tVz8UN9fbRk_hVmjQHaE6.jpg,jpg,butterfly,224,224,RGB,3,0
10380,10380,./data/processed/butterfly/OIP-s18KjwOaDIfmET474aZFtgHaEo.jpg,OIP-s18KjwOaDIfmET474aZFtgHaEo.jpg,jpg,butterfly,224,224,RGB,3,0
9581,9581,./data/processed/butterfly/OIP-NRLWkyWgW45GyLT4O3x2gwHaJ3.jpg,OIP-NRLWkyWgW45GyLT4O3x2gwHaJ3.jpg,jpg,butterfly,224,224,RGB,3,0
