,Unnamed: 0,relpath,name,format,category,width,height,mode,channels,label
15082,15082,./data/processed/cat/552.jpg,552.jpg,jpg,cat,224,224,RGB,3,1
23572,23572,./data/processed/spider/OIP-tj8xvAgMeLh-PGTQccj3QQHaF6.jpg,OIP-tj8xvAgMeLh-PGTQccj3QQHaF6.jpg,jpg,spider,224,224,RGB,3,8
12120,12120,./data/processed/chicken/OIP-CFVDc3Go27LfbFe147SvmAHaFj.jpg,OIP-CFVDc3Go27LfbFe147SvmAHaFj.jpg,jpg,chicken,224,224,RGB,3,2
15375,15375,./data/processed/cat/chinda-sam-413882-unsplash.jpg,chinda-sam-413882-unsplash.jpg,jpg,cat,224,224,RGB,3,1
6974,6974,./data/processed/horse/OIP-mzy08A-ueJ9p4SkCaqTJOwHaE6.jpg,OIP-mzy08A-ueJ9p4SkCaqTJOwHaE6.jpg,jpg,horse,224,224,RGB,3,6
2529,2529,./data/processed/dog/OIP-W4H3AXCyhVLhgZd4p1cBrgHaE8.jpg,OIP-W4H3AXCyhVLhgZd4p1cBrgHaE8.jpg,jpg,dog,224,224,RGB,3,4
4251,4251,./data/processed/dog/OIP-s1ZsxZoMsb1DV6khAZYKSgHaFj.jpg,OIP-s1ZsxZoMsb1DV6khAZYKSgHaFj.jpg,jpg,dog,224,224,RGB,3,4
4966,4966,./data/processed/horse/OIP-1kkhwRz7iITLNyGkkDxKEgHaFg.jpg,OIP-1kkhwRz7iITLNyGkkDxKEgHaFg.jpg,jpg,horse,224,224,RGB,3,6
8267,8267,./data/processed/elephant/OIP-hhi1ITJ0ajl1y3G5qJMjwwHaJ2.jpg,OIP-hhi1ITJ0ajl1y3G5qJMjwwHaJ2.jpg,jpg,elephant,224,224,RGB,3,5
15535,15535,./data/processed/cat/ea36b30a2ff2013ed1584d05fb1d4e9fe777ead218ac104497f5c978a7e8b7bc_640.jpg,ea36b30a2ff2013ed1584d05fb1d4e9fe777ead218ac104497f5c978a7e8b7bc_640.jpg,jpg,cat,224,224,RGB,3,1
2082,2082,./data/processed/dog/OIP-QSnY6W1BbDPrXh8P1ya-9AHaE9.jpg,OIP-QSnY6W1BbDPrXh8P1ya-9AHaE9.jpg,jpg,dog,224,224,RGB,3,4
15710,15710,./data/processed/cat/ea37b90f2df6073ed1584d05fb1d4e9fe777ead218ac104497f5c978a7ebb0bb_640.jpg,ea37b90f2df6073ed1584d05fb1d4e9fe777ead218ac104497f5c978a7ebb0bb_640.jpg,jpg,cat,224,224,RGB,3,1
7303,7303,./data/processed/horse/OIP-v90VTYoPfJpblGsHDrnMyAHaFC.jpg,OIP-v90VTYoPfJpblGsHDrnMyAHaFC.jpg,jpg,horse,224,224,RGB,3,6
3229,3229,./data/processed/dog/OIP-e21rYt0bC28LMa0VqZbz1gHaFQ.jpg,OIP-e21rYt0bC28LMa0VqZbz1gHaFQ.jpg,jpg,dog,224,224,RGB,3,4
2372,2372,./data/processed/dog/OIP-Tu2Bc-41Z4Yv9KbGitZW_QHaIB.jpg,OIP-Tu2Bc-41Z4Yv9KbGitZW_QHaIB.jpg,jpg,dog,224,224,RGB,3,4
25984,25984,./data/processed/squirrel/OIP-tWzeVzEHvXm1e7ZhB_4CeQHaHR.jpg,OIP-tWzeVzEHvXm1e7ZhB_4CeQHaHR.jpg,jpg,squirrel,224,224,RGB,3,9
14729,14729,./data/processed/cat/1757.jpg,1757.jpg,jpg,cat,224,224,RGB,3,1
19408,19408,./data/processed/sheep/eb36b60721f6053ed1584d05fb1d4e9fe777ead218ac104497f5c978a6ebb3bf_640.jpg,eb36b60721f6053ed1584d05fb1d4e9fe777ead218ac104497f5c978a6ebb3bf_640.jpg,jpg,sheep,224,224,RGB,3,7
26066,26066,./data/processed/squirrel/OIP-wR_Pn33_qwAKcLERwVJOFQAAAA.jpg,OIP-wR_Pn33_qwAKcLERwVJOFQAAAA.jpg,jpg,squirrel,224,224,RGB,3,9
25847,25847,./data/processed/squirrel/OIP-obuEJbAtZsCMyhzWF7Pb7gHaM0.jpg,OIP-obuEJbAtZsCMyhzWF7Pb7gHaM0.jpg,jpg,squirrel,224,224,RGB,3,9
5884,5884,./data/processed/horse/OIP-N-RyL5glDIk4V9SMqnYIjgHaI2.jpg,OIP-N-RyL5glDIk4V9SMqnYIjgHaI2.jpg,jpg,horse,224,224,RGB,3,6
23208,23208,./data/processed/spider/OIP-oMtjbxfkXYd1nUtlbsI6jAHaHa.jpg,OIP-oMtjbxfkXYd1nUtlbsI6jAHaHa.jpg,jpg,spider,224,224,RGB,3,8
14957,14957,./data/processed/cat/362.jpg,362.jpg,jpg,cat,224,224,RGB,3,1
15576,15576,./data/processed/cat/ea36b60e20f1033ed1584d05fb1d4e9fe777ead218ac104497f5c978a7eebdbb_640.jpg,ea36b60e20f1033ed1584d05fb1d4e9fe777ead218ac104497f5c978a7eebdbb_640.jpg,jpg,cat,224,224,RGB,3,1
18202,18202,./data/processed/sheep/OIP-MUw0vHFW_wVk8y5S_3EjFwHaHa.jpg,OIP-MUw0vHFW_wVk8y5S_3EjFwHaHa.jpg,jpg,sheep,224,224,RGB,3,7
21030,21030,./data/processed/spider/OIP-KM9aJuOkbIrXjxg6A2ieNgHaFj.jpg,OIP-KM9aJuOkbIrXjxg6A2ieNgHaFj.jpg,jpg,spider,224,224,RGB,3,8
12657,12657,./data/processed/chicken/OIP-QFFAdVPTff5wR8Gix17epwHaFj.jpg,OIP-QFFAdVPTff5wR8Gix17epwHaFj.jpg,jpg,chicken,224,224,RGB,3,2
13182,13182,./data/processed/chicken/OIP-cAfeRUyaDSsWnf8CE057EAHaFj.jpg,OIP-cAfeRUyaDSsWnf8CE057EAHaFj.jpg,jpg,chicken,224,224,RGB,3,2
16778,16778,./data/processed/cow/OIP-VzajWRQWUK_3wetnW9wxVgAAAA.jpg,OIP-VzajWRQWUK_3wetnW9wxVgAAAA.jpg,jpg,cow,224,224,RGB,3,3
21785,21785,./data/processed/spider/OIP-VhW-0_5ap3qqnokKDO53jgHaHL.jpg,OIP-VhW-0_5ap3qqnokKDO53jgHaHL.jpg,jpg,spider,224,224,RGB,3,8
17362,17362,./data/processed/cow/OIP-nkroYJt01TLQMNy3rTofOwHaEK.jpg,OIP-nkroYJt01TLQMNy3rTofOwHaEK.jpg,jpg,cow,224,224,RGB,3,3
25662,25662,./data/processed/squirrel/OIP-iZo9sJOz-Okw5PwM0edzXQHaD8.jpg,OIP-iZo9sJOz-Okw5PwM0edzXQHaD8.jpg,jpg,squirrel,224,224,RGB,3,9
6644,6644,./data/processed/horse/OIP-fCCvfOanFY9ExLsk2wLdygHaFj.jpg,OIP-fCCvfOanFY9ExLsk2wLdygHaFj.jpg,jpg,horse,224,224,RGB,3,6
7055,7055,./data/processed/horse/OIP-ovSn1cGyhFWv63kkWyhjYgEsDw.jpg,OIP-ovSn1cGyhFWv63kkWyhjYgEsDw.jpg,jpg,horse,224,224,RGB,3,6
24648,24648,./data/processed/squirrel/OIP-B7qem_5oJc4WBhSA7X8dGAHaFj.jpg,OIP-B7qem_5oJc4WBhSA7X8dGAHaFj.jpg,jpg,squirrel,224,224,RGB,3,9
7016,7016,./data/processed/horse/OIP-o4y6llUKxDJJWTENIWZidgAAAA.jpg,OIP-o4y6llUKxDJJWTENIWZidgAAAA.jpg,jpg,horse,224,224,RGB,3,6
1097,1097,./data/processed/dog/OIP-D2d-6nMVB46QCp82PwbKBQHaDt.jpg,OIP-D2d-6nMVB46QCp82PwbKBQHaDt.jpg,jpg,dog,224,224,RGB,3,4
4903,4903,./data/processed/horse/OIP-027UsuxGAPPDHf86Z-oYawHaF7.jpg,OIP-027UsuxGAPPDHf86Z-oYawHaF7.jpg,jpg,horse,224,224,RGB,3,6
10713,10713,./data/processed/butterfly/ea36b00d2bf6023ed1584d05fb1d4e9fe777ead218ac104497f5c97faee8b1b8_640.jpg,ea36b00d2bf6023ed1584d05fb1d4e9fe777ead218ac104497f5c97faee8b1b8_640.jpg,jpg,butterfly,224,224,RGB,3,0
15839,15839,./data/processed/cow/OIP--pMZNATl-k0LT3yHuKVfwAAAAA.jpg,OIP--pMZNATl-k0LT3yHuKVfwAAAAA.jpg,jpg,cow,224,224,RGB,3,3
17681,17681,./data/processed/sheep/OIP--S44hiu6-CBwY5MH11WF-QHaEK.jpg,OIP--S44hiu6-CBwY5MH11WF-QHaEK.jpg,jpg,sheep,224,224,RGB,3,7
7026,7026,./data/processed/horse/OIP-oGIveOfzVKO_LIkJLXzVAwHaG2.jpg,OIP-oGIveOfzVKO_LIkJLXzVAwHaG2.jpg,jpg,horse,224,224,RGB,3,6
8191,8191,./data/processed/elephant/OIP-dCK_KHgagdnWxw1Im5xC8gHaE8.jpg,OIP-dCK_KHgagdnWxw1Im5xC8gHaE8.jpg,jpg,elephant,224,224,RGB,3,5
15463,15463,./data/processed/cat/ea35b30820f7043ed1584d05fb1d4e9fe777ead218ac104497f5c978a7ebb0bb_640.jpg,ea35b30820f7043ed1584d05fb1d4e9fe777ead218ac104497f5c978a7ebb0bb_640.jpg,jpg,cat,224,224,RGB,3,1
25614,25614,./data/processed/squirrel/OIP-hLfzD5HkjKM6L6ksEr_lbgHaFu.jpg,OIP-hLfzD5HkjKM6L6ksEr_lbgHaFu.jpg,jpg,squirrel,224,224,RGB,3,9
15043,15043,./data/processed/cat/494.jpg,494.jpg,jpg,cat,224,224,RGB,3,1
20170,20170,./data/processed/spider/OIP-8c54_UHJSbnjWeCaBJtSdAHaFe.jpg,OIP-8c54_UHJSbnjWeCaBJtSdAHaFe.jpg,jpg,spider,224,224,RGB,3,8
10127,10127,./data/processed/butterfly/OIP-hx9TQ6l3pksYT5Ub3bhwVQHaE8.jpg,OIP-hx9TQ6l3pksYT5Ub3bhwVQHaE8.jpg,jpg,butterfly,224,224,RGB,3,0
8094,8094,./data/processed/elephant/OIP-Xa9PvNZZH3CXAty_NoZC5wHaE7.jpg,OIP-Xa9PvNZZH3CXAty_NoZC5wHaE7.jpg,jpg,elephant,224,224,RGB,3,5
12443,12443,./data/processed/chicken/OIP-KHy2ToaYA2eNssb8ivSZmwHaFj.jpg,OIP-KHy2ToaYA2eNssb8ivSZmwHaFj.jpg,jpg,chicken,224,224,RGB,3,2
11050,11050,./data/processed/chicken/1016.jpg,1016.jpg,jpg,chicken,224,224,RGB,3,2
13062,13062,./data/processed/chicken/OIP-_Nd6-9eC_Mw4-2dBIU0lRgHaFj.jpg,OIP-_Nd6-9eC_Mw4-2dBIU0lRgHaFj.jpg,jpg,chicken,224,224,RGB,3,2
8820,8820,./data/processed/elephant/eb33b7072ef3043ed1584d05fb1d4e9fe777ead218ac104497f5c978a4efbcb0_640.jpg,eb33b7072ef3043ed1584d05fb1d4e9fe777ead218ac104497f5c978a4efbcb0_640.jpg,jpg,elephant,224,224,RGB,3,5
3247,3247,./data/processed/dog/OIP-eI9XqPkhg6O20hg1H0BKugHaIi.jpg,OIP-eI9XqPkhg6O20hg1H0BKugHaIi.jpg,jpg,dog,224,224,RGB,3,4
19056,19056,./data/processed/sheep/OIP-xf8n1B_teLq_I2S03QmjRAHaH5.jpg,OIP-xf8n1B_teLq_I2S03QmjRAHaH5.jpg,jpg,sheep,224,224,RGB,3,7
12763,12763,./data/processed/chicken/OIP-SvHrMqlOBCaLieM5XKND6wHaGb.jpg,OIP-SvHrMqlOBCaLieM5XKND6wHaGb.jpg,jpg,chicken,224,224,RGB,3,2
18089,18089,./data/processed/sheep/OIP-HIUYY1AnmzkY6MqjErggUgHaFj.jpg,OIP-HIUYY1AnmzkY6MqjErggUgHaFj.jpg,jpg,sheep,224,224,RGB,3,7
15443,15443,./data/processed/cat/ea34b8062ffd073ed1584d05fb1d4e9fe777ead218ac104497f5c978a7ebb0bb_640.jpg,ea34b8062ffd073ed1584d05fb1d4e9fe777ead218ac104497f5c978a7ebb0bb_640.jpg,jpg,cat,224,224,RGB,3,1
14048,14048,./data/processed/chicken/OIP-xccgCwlldhBeqZiX5BSgLgHaFj.jpg,OIP-xccgCwlldhBeqZiX5BSgLgHaFj.jpg,jpg,chicken,224,224,RGB,3,2
3687,3687,./data/processed/dog/OIP-kalUWXroUI5iH3K4-BnNGgHaGx.jpg,OIP-kalUWXroUI5iH3K4-BnNGgHaGx.jpg,jpg,dog,224,224,RGB,3,4
